Country,Key,Continent,Refugees_2010,Refugees_2015,Murder Rate,Children_out_of_school,Government,GDP($ in million),Immigrants,Rain(ml),Density(pop/mi),Population,Area(mi),Famine,Female,Male,Civil,Poverty
Afghanistan,AFG,Asia,6434.0,257553.0,3.4,122.81,Republic,19199.0,105090,327.0,101.0,25500100.0,249347.0,1.0,49.3,50.7,0.0,36.0
Albania,ALB,Europe,76.0,79.0,4.5,6.86,Constitutional monarchy,11456.0,57616,1485.0,254.0,2821977.0,11082.0,0.0,49.9,50.1,0.0,14.3
United Arab Emirates,ARE,Asia,538.0,658.0,0.92,0.626,Republic,370293.0,7826981,78.0,256.0,8264070.0,32278.0,0.0,29.9,70.1,0.0,19.5
Argentina,ARG,South America,3276.0,3142.0,5.5,0.938,Constitutional monarchy,548055.0,1885678,591.0,37.0,40117096.0,1073518.0,0.0,51.1,48.9,0.0,30.0
Armenia,ARM,Europe,3296.0,19309.0,2.5,2.78,Republic,10561.0,317001,562.0,264.0,3024100.0,11484.0,0.0,48.6,51.4,0.0,35.8
Austria,AUT,Europe,42630.0,72158.0,0.55,3.01,Constitutional monarchy,374056.0,1492374,1110.0,264.0,8572895.0,32386.0,0.0,51.2,48.8,0.0,6.2
Azerbaijan,AZE,Europe,1891.0,1269.0,2.0,7.01,Constitutional monarchy,53047.0,323843,447.0,282.0,9477100.0,33436.0,0.0,50.3,49.7,0.0,6.0
Burundi,BDI,Africa,29365.0,53356.0,37.0,8.79,Republic,3085.0,254477,1274.0,1075.0,11552561.0,10740.0,1.0,50.6,49.4,0.0,68.0
Belgium,BEL,Europe,17892.0,35267.0,1.82,0.618,Republic,454039.0,1387940,847.0,961.0,11323925.0,11787.0,0.0,50.9,49.1,0.0,15.2
Benin,BEN,Africa,7139.0,521.0,14.0,8.27,Republic,8476.0,234241,1039.0,238.0,10323000.0,43484.0,0.0,50.2,49.8,0.0,37.4
Bangladesh,BGD,Asia,229253.0,231954.0,2.6,4.11,Republic,195079.0,1396514,2666.0,2898.56,161153762.0,55598.0,1.0,49.4,50.6,0.0,31.5
Bulgaria,BGR,Europe,5530.0,16513.0,2.3,0.675,Republic,48953.0,102113,608.0,166.0,7153784.0,42858.0,0.0,51.4,48.6,0.0,21.8
Belarus,BLR,Europe,589.0,1800.0,5.6,2.14,Constitutional monarchy,54609.0,1082905,618.0,119.0,9469200.0,80155.0,0.0,53.6,46.4,0.0,27.1
Belize,BLZ,North America,134.0,34.0,33.0,1.21,Constitutional monarchy,1763.0,50860,1705.0,37.0,324528.0,8867.0,0.0,50.0,50.0,0.0,41.0
Bolivia,BOL,South America,695.0,752.0,11.0,23.62,Republic,33197.0,154330,1146.0,24.5,10389913.0,424164.0,0.0,50.1,49.9,0.0,45.0
Brazil,BRA,South America,4357.0,8643.0,22.0,33.84,Republic,1774725.0,1847274,1782.0,62.0,202768562.0,3287956.0,0.0,50.8,49.2,0.0,21.4
Botswana,BWA,Africa,2986.0,2122.0,12.0,25.54,Absolute monarchy,14391.0,146456,416.0,9.01,2024904.0,224607.0,0.0,49.7,50.3,0.0,30.3
Canada,CAN,North America,165549.0,135865.0,2.05,0.0615,Republic,1550537.0,7284069,537.0,9.48,36541742.0,3855103.0,0.0,50.4,49.6,0.0,9.4
Switzerland,CHE,Europe,48813.0,73261.0,0.71,0.443,Republic,664738.0,2438702,1537.0,523.0,8341600.0,15940.0,0.0,50.7,49.3,0.0,7.6
Chile,CHL,South America,1621.0,1825.0,1.7,5.99,Republic,240216.0,469400,1522.0,57.0,16634603.0,291930.0,0.0,50.5,49.5,0.0,15.1
China,CHN,Asia,300986.0,301039.0,1.2,14.19,Republic,10866444.0,848511,645.0,24275.82,1386956645.0,1240927.0,0.0,48.2,51.8,0.0,6.1
Cameroon,CMR,Africa,104275.0,342950.0,2.3,13.59,Republic,29198.0,291792,1604.0,114.0,20386799.0,179943.0,0.0,50.0,50.0,0.0,48.0
Democratic Republic of the Congo,COD,Africa,166336.0,383085.0,35.0,106.48,Republic,35238.0,446924,1543.0,94.0,85026000.0,905446.0,0.0,50.3,49.7,1.0,71.0
Colombia,COL,South America,212.0,187.0,35.0,12.56,Republic,292080.0,129632,2612.0,110.82,48854954.0,440831.0,0.0,50.8,49.2,0.0,32.7
Costa Rica,CRI,North America,19505.0,3588.0,11.0,4.95,Republic,51107.0,419572,2926.0,236.0,4667096.0,19730.0,0.0,49.2,50.8,0.0,24.8
Germany,DEU,Europe,594269.0,316058.0,0.86,0.0884,Republic,3355772.0,12005690,700.0,596.0,82175700.0,137903.0,0.0,50.9,49.1,0.0,15.5
Djibouti,DJI,Africa,15104.0,19359.0,3.4,40.84,Republic,1589.0,123537,220.0,98.0,864618.0,8880.0,1.0,49.8,50.2,0.0,18.8
Denmark,DNK,Europe,17922.0,27267.0,1.01,2.74,Republic,295164.0,572520,703.0,142.36,5743947.0,284492.333333,0.0,50.4,49.6,0.0,13.4
Dominican Republic,DOM,North America,599.0,605.0,22.0,11.14,Republic,67103.0,415564,1410.0,570.0,10528000.0,18485.0,0.0,50.0,50.0,0.0,34.4
Algeria,DZA,Africa,94144.0,94161.0,0.64,0.658,Republic,166839.0,270407,89.0,42.0,38700000.0,919595.0,0.0,49.4,50.6,0.0,23.0
Ecuador,ECU,South America,121249.0,121451.0,19.0,3.83,Republic,100872.0,359315,2087.0,166.0,16342000.0,98686.0,0.0,50.0,50.0,0.0,25.6
Egypt,EGY,Africa,95056.0,212462.0,0.8,2.66,Republic,330779.0,297448,51.0,236.81,91657170.0,387048.0,0.0,49.8,50.2,0.0,22.0
Spain,ESP,Europe,3820.0,5737.0,0.9,0.164,Republic,1199057.0,5852953,636.0,238.0,46439864.0,195364.0,0.0,50.6,49.4,0.0,21.1
Estonia,EST,Europe,39.0,133.0,7.1,1.58,Republic,22691.0,202348,626.0,75.0,1313271.0,17505.0,0.0,53.6,46.4,0.0,17.5
Ethiopia,ETH,Africa,154295.0,736071.0,21.0,32.82,Republic,61537.0,718241,848.0,215.0,87952991.0,410678.0,1.0,50.0,50.0,0.0,39.0
Fiji,FJI,Oceania,1.0,7.0,2.8,1.31,Republic,4386.0,13751,2592.0,122.0,858038.0,7078.0,0.0,49.1,50.9,0.0,31.0
France,FRA,Europe,200687.0,273092.0,1.31,0.613,Republic,2421682.0,7784418,867.0,622.821666667,69296665.0,21196.9166667,0.0,51.6,48.4,0.0,7.9
Georgia,GEO,Europe,639.0,1963.0,7.6,0.836,Republic,13965.0,189893,1026.0,137.0,3720400.0,26911.0,0.0,52.9,47.1,0.0,9.2
Ghana,GHA,Africa,13828.0,17394.0,1.7,25.72,Constitutional monarchy,37864.0,358829,1187.0,267.0,24658823.0,92098.0,0.0,50.4,49.6,0.0,28.5
Greece,GRC,Europe,1444.0,30187.0,1.05,0.246,Republic,195212.0,1242514,652.0,218.0,11123034.0,50949.0,0.0,50.7,49.3,0.0,20.0
Guatemala,GTM,North America,138.0,222.0,52.0,7.48,Republic,63794.0,72764,1996.0,376.0,15806675.0,42042.0,0.0,51.2,48.8,0.0,54.0
Guyana,GUY,South America,7.0,7.0,21.0,31.7,Absolute monarchy,3166.0,14770,2387.0,9.45,784894.0,83012.0,0.0,49.2,50.8,0.0,35.0
Honduras,HND,North America,14.0,23.0,67.0,8.39,Republic,20152.0,27503,1976.0,202.0,8721014.0,43433.0,0.0,50.0,50.0,0.0,60.0
Croatia,HRV,Europe,936.0,473.0,1.67,0.865,Republic,48732.0,576883,1113.0,197.0,4290612.0,21831.0,0.0,51.8,48.2,0.0,21.1
Haiti,HTI,North America,0.0,0.0,21.0,69.64,Republic,8877.0,39529,1440.0,1059.0,11078033.0,10450.0,0.0,50.6,49.4,0.0,80.0
Hungary,HUN,Europe,5414.0,4333.0,1.38,0.858,Republic,120687.0,449632,589.0,275.0,9877365.0,35919.0,0.0,52.5,47.5,0.0,14.0
Indonesia,IDN,Asia,811.0,5954.0,1.05,3.74,Republic,861934.0,295433,2702.0,355.0,260581000.0,735358.0,0.0,49.7,50.3,0.0,11.7
India,IND,Asia,184821.0,201364.0,2.8,1.14,Republic,2073543.0,5338486,1083.0,1048.51,1330783327.0,1269211.0,0.0,48.3,51.7,0.0,29.8
Iran,IRN,Asia,1073366.0,979435.0,2.6,0.0454,Republic,425326.0,2649516,228.0,125.03,79566199.0,636372.0,0.0,49.7,50.3,0.0,18.7
Israel,ISR,Asia,25471.0,38463.0,2.1,2.65,Constitutional monarchy,296075.0,2046873,435.0,1007.75,8588060.0,8522.0,0.0,50.5,49.5,0.0,21.0
Italy,ITA,Europe,56397.0,117986.0,1.1,0.421,Constitutional monarchy,1814763.0,5788875,832.0,521.0,60665551.0,116336.0,0.0,51.4,48.6,0.0,29.9
Jamaica,JAM,North America,21.0,8.0,60.0,11.09,Constitutional monarchy,14006.0,23167,2051.0,642.0,2723246.0,4244.0,0.0,50.8,49.2,0.0,16.5
Jordan,JOR,Asia,450915.0,664095.0,1.9,3.21,Republic,37517.0,2925780,111.0,282.06,9729613.0,34495.0,0.0,49.0,51.0,0.0,14.2
Japan,JPN,Asia,2586.0,2464.0,1.02,0.0322,Republic,4123258.0,2437169,1668.0,870.0,126920000.0,145925.0,0.0,51.3,48.7,0.0,16.0
Kazakhstan,KAZ,Asia,4406.0,701.0,11.0,0.602,Republic,184361.0,3476233,250.0,16.0,17186000.0,1052090.0,0.0,51.9,48.1,0.0,5.3
Kenya,KEN,Africa,402905.0,553892.0,3.6,27.32,Republic,63398.0,955452,630.0,210.0,47251449.0,224647.0,1.0,50.1,49.9,0.0,43.4
Cambodia,KHM,Asia,129.0,69.0,3.2,1.92,Constitutional monarchy,18050.0,75556,1904.0,218.0,15184116.0,69898.0,0.0,51.2,48.8,0.0,20.0
South Korea,KOR,Asia,358.0,1425.0,2.3,0.612,Republic,1377873.0,1230000,1274.0,1313.0,50801405.0,38691.0,0.0,50.3,49.7,0.0,16.0
Sri Lanka,LKA,Asia,223.0,776.0,7.4,4.94,Republic,82316.0,324977,1712.0,829.0,20966000.0,25332.0,0.0,51.1,48.9,0.0,8.9
Lithuania,LTU,Europe,803.0,1064.0,9.0,0.456,Republic,41244.0,136036,656.0,117.0,2944459.0,25212.0,0.0,54.0,46.0,0.0,4.0
Morocco,MAR,Africa,792.0,3884.0,0.4,2.68,Republic,100360.0,50771,346.0,197.74,34093762.0,172414.0,0.0,50.6,49.4,0.0,15.0
Mexico,MEX,North America,1395.0,2874.0,15.0,3.4,Republic,1144331.0,1103460,752.0,161.0,122273473.0,759516.0,0.0,51.6,48.4,0.0,52.3
Mongolia,MNG,Asia,12.0,6.0,7.9,1.87,Constitutional monarchy,11758.0,17225,241.0,4.97,3000000.0,603902.0,0.0,50.5,49.5,0.0,29.8
Mozambique,MOZ,Africa,4077.0,5609.0,5.0,27.44,Republic,14689.0,218881,1032.0,77.0,23700715.0,308642.0,0.0,51.1,48.9,0.0,52.0
Malaysia,MYS,Asia,81516.0,94111.0,2.3,3.63,Republic,296218.0,3276880,2875.0,245.0,31339000.0,127724.0,0.0,51.5,48.5,0.0,3.8
Namibia,NAM,Africa,7254.0,1725.0,6.0,19.24,Republic,11546.0,51448,285.0,6.63,2113077.0,318580.0,0.0,51.5,48.5,0.0,28.7
Nigeria,NGA,Africa,8747.0,1372.0,1.3,69.68,Absolute monarchy,481066.0,1233592,1150.0,523.0,186988000.0,356669.0,0.0,49.1,50.9,0.0,70.0
Nicaragua,NIC,North America,64.0,325.0,13.0,9.24,Republic,12693.0,41482,2391.0,129.0,6071045.0,46884.0,0.0,50.5,49.5,0.0,42.5
Netherlands,NLD,Europe,74961.0,88493.0,0.93,0.0465,Republic,752547.0,1979486,778.0,1265.306,17362465.0,3283.2,0.0,50.4,49.6,0.0,9.1
Nepal,NPL,Asia,89808.0,32659.0,2.2,2.97,Constitutional monarchy,20881.0,971247,1500.0,466.0,26494504.0,56827.0,0.0,51.6,48.4,0.0,25.2
Pakistan,PAK,Asia,1900621.0,1561152.0,6.8,29.98,Republic,269971.0,4080766,494.0,626.18,194369652.0,310403.0,0.0,48.6,51.4,0.0,22.3
Panama,PAN,North America,17073.0,17264.0,13.0,9.14,Republic,52132.0,158417,2692.0,119.0,3405813.0,28640.0,0.0,49.5,50.5,0.0,26.0
